Month;Electricity End Use, Total
1973 Ocak;144505,194
1973 Şubat;139546,088
1973 Mart;137102,316
1973 Nisan;131365,928
1973 Mayıs;131360,946
1973 Haziran;140293,003
1973 Temmuz;152562,168
1973 Ağustos;157480,821
1973 Eylül;157309,577
1973 Ekim;146041,974
1973 Kasım;138141,74
1973 Aralık;137199,026
1974 Ocak;143986,102
1974 Şubat;136737,112
1974 Mart;135951,806
1974 Nisan;133007,088
1974 Mayıs;133077,165
1974 Haziran;141930,937
1974 Temmuz;151511,234
1974 Ağustos;158112,467
1974 Eylül;153619,101
1974 Ekim;141355,276
1974 Kasım;135783,782
1974 Aralık;140851,656
1975 Ocak;149394,254
1975 Şubat;142973,173
1975 Mart;140749,395
1975 Nisan;135833,27
1975 Mayıs;133567,894
1975 Haziran;142995,634
1975 Temmuz;154204,005
1975 Ağustos;160901,832
1975 Eylül;157741,267
1975 Ekim;141817,659
1975 Kasım;139259,589
1975 Aralık;147652,655
1976 Ocak;160538,972
1976 Şubat;153548,606
1976 Mart;147464,833
1976 Nisan;142310,388
1976 Mayıs;141804,01
1976 Haziran;149038,662
1976 Temmuz;163006,465
1976 Ağustos;168630,829
1976 Eylül;164411,861
1976 Ekim;150984,548
1976 Kasım;150740,813
1976 Aralık;162766,107
1977 Ocak;172350,883
1977 Şubat;165298,16
1977 Mart;156204,425
1977 Nisan;147926,369
1977 Mayıs;148602,006
1977 Haziran;159294,092
1977 Temmuz;174997,802
1977 Ağustos;178590,072
1977 Eylül;172261,551
1977 Ekim;159348,318
1977 Kasım;151312,143
1977 Aralık;162175,391
1978 Ocak;176649
1978 Şubat;169927
1978 Mart;163406
1978 Nisan;150385
1978 Mayıs;151504
1978 Haziran;165519
1978 Temmuz;179114
1978 Ağustos;184223
1978 Eylül;182638
1978 Ekim;166722
1978 Kasım;159126
1978 Aralık;168709
1979 Ocak;185387
1979 Şubat;181515
1979 Mart;173249
1979 Nisan;161557
1979 Mayıs;159551
1979 Haziran;166860
1979 Temmuz;178339
1979 Ağustos;187309
1979 Eylül;179640
1979 Ekim;165948
1979 Kasım;162271
1979 Aralık;169473
1980 Ocak;179585
1980 Şubat;178721
1980 Mart;174373
1980 Nisan;161701
1980 Mayıs;154851
1980 Haziran;164872
1980 Temmuz;185882
1980 Ağustos;196464
1980 Eylül;190139
1980 Ekim;170080
1980 Kasım;162174
1980 Aralık;175607
1981 Ocak;191949,087
1981 Şubat;182207,239
1981 Mart;172826,352
1981 Nisan;163524,824
1981 Mayıs;163172,827
1981 Haziran;178827,384
1981 Temmuz;197814,44
1981 Ağustos;198459,287
1981 Eylül;186250,025
1981 Ekim;171349,69
1981 Kasım;165016,324
1981 Aralık;175705,384
1982 Ocak;192079,166
1982 Şubat;182805,174
1982 Mart;173959,12
1982 Nisan;164511,66
1982 Mayıs;158569,4
1982 Haziran;168739,125
1982 Temmuz;183566,97
1982 Ağustos;189740,405
1982 Eylül;178295,927
1982 Ekim;163416,303
1982 Kasım;160479,567
1982 Aralık;170278,534
1983 Ocak;179175,753
1983 Şubat;173464,871
1983 Mart;167583,542
1983 Nisan;163807,406
1983 Mayıs;158919,003
1983 Haziran;171604,279
1983 Temmuz;194153,338
1983 Ağustos;208115,006
1983 Eylül;201922,127
1983 Ekim;176307,148
1983 Kasım;170473,691
1983 Aralık;185428,408
1984 Ocak;207251,507
1984 Şubat;190869,475
1984 Mart;186072,361
1984 Nisan;175350,115
1984 Mayıs;175542,351
1984 Haziran;189758,447
1984 Temmuz;204473,661
1984 Ağustos;209045,694
1984 Eylül;199021,37
1984 Ekim;182285,344
1984 Kasım;178588,865
1984 Aralık;187537,204
1985 Ocak;202596,81
1985 Şubat;202266,299
1985 Mart;186112,884
1985 Nisan;178530,004
1985 Mayıs;178781,45
1985 Haziran;190305,001
1985 Temmuz;205200,802
1985 Ağustos;210659,871
1985 Eylül;206261,505
1985 Ekim;184730,409
1985 Kasım;180229,353
1985 Aralık;198299,464
1986 Ocak;210263,508
